,source,location,text,detective,category,label
443,Tweets,"stated on April 5, 2020 in social media posts:","Say televangelist Pat Robertson said some young people “are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies’ private parts and that’s where I think the (corona)virus came from.”","By Anna Peterson • April 13, 2020",pants-fire,3
444,Donald Trump,"stated on April 13, 2020 in a tweet:","""It is the decision of the President,"" not governors, to ""open up the states.""","By Amy Sherman • April 13, 2020",false,3
445,Facebook posts,"stated on March 29, 2020 in a Facebook post:","Says CEOs got advance notice of COVID, then resigned to dump stock.","By Tom Kertscher • April 13, 2020",false,3
446,Facebook posts,"stated on March 27, 2020 in a Facebook post:",Says video of body bags being dumped in a ditch shows the “situation in Italy” due to the coronavirus.,"By Bill McCarthy • April 13, 2020",false,3
447,Facebook posts,"stated on April 10, 2020 in a Facebook post:",“Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.”,"By Ciara O'Rourke • April 13, 2020",false,3
448,Joe Biden,"stated on April 5, 2020 in an ABC ""This Week"" interview:","""45 nations had already moved” to enforce travel restrictions with China “before the president moved.”","By Miriam Valverde • April 13, 2020",half-true,1
449,DeAnna Lorraine,"stated on April 12, 2020 in a tweet that was retweeted by President Donald Trump:","Says of COVID-19 that Dr. Anthony Fauci ""was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.""","By Louis Jacobson • April 13, 2020",barely-true,2
450,Tweets,"stated on April 4, 2020 in a tweet:",Suggests Trump urged sick people to get out and vote during COVID-19 pandemic,"By Samantha Putterman • April 13, 2020",false,3
451,Bernie Sanders,"stated on April 8, 2020 in an op-ed published in The Guardian:","“It has been estimated that only 12% of workers in businesses that are likely to stay open during this crisis are receiving paid sick leave benefits as a result of the second coronavirus relief package.""","By Shefali Luthra • April 13, 2020",mostly-true,1
452,Facebook posts,"stated on April 6, 2020 in a Facebook post:",“Same little boy died of COVID-19 in three different countries. Still don’t believe the media is #fakenews?”,"By Tom Kertscher • April 13, 2020",pants-fire,3
453,Viral image,"stated on April 4, 2020 in a Facebook post:",“‘Private’ messages sent to individual people during a Zoom meeting show up in the end-of-meeting transcript along with all other public messages.”,"By Ciara O'Rourke • April 13, 2020",half-true,1
454,Facebook posts,"stated on April 6, 2020 in a Facebook post:",Says a photo shows South Carolina after stay-at-home orders were announced.,"By Ciara O'Rourke • April 13, 2020",false,3
455,Facebook posts,"stated on April 7, 2020 in a Facebook post:",Says Robin Vos wore protective gear that “election workers he forced to work … do not have.”,"By Haley BeMiller • April 10, 2020",barely-true,2
456,Ron DeSantis,"stated on April 9, 2020 in a meeting:","""This particular pandemic is one where I don’t think nationwide, there’s been a single fatality under 25.""","By Samantha Putterman • April 10, 2020",pants-fire,3
457,Facebook posts,"stated on April 3, 2020 in a Facebook post:",Says fluid milk production limitations mean grocery stores are short on milk even as farmers are dumping it,"By Eric Litke • April 10, 2020",half-true,1
458,Facebook posts,"stated on April 7, 2020 in an image:","Says Donald Trump ""himself has a financial stake in the French company that makes the brand-name version of hydroxychloroquine.”","By Daniel Funke • April 9, 2020",half-true,1
459,Facebook posts,"stated on March 31, 2020 in a Facebook post:","“The CDC issued its first warning on Jan 8. Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21, & Feb 28. He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7, Mar 8. The first time he admitted the coronavirus might be a problem was Mar 13.”","By Emily Venezky • April 9, 2020",half-true,1
460,Facebook posts,"stated on March 24, 2020 in a Facebook post:",Says a pandemic occurs exactly every 100 years.,"By Tom Kertscher • April 9, 2020",false,3
461,Instagram posts,"stated on March 18, 2020 in an Instagram post:","Says “Bill Gates and other globalists, in collaboration with pharmaceutical companies, are reportedly working to push tracking bracelets and ‘invisible tattoos’ to monitor Americans during an impending lockdown.”","By Samantha Putterman • April 9, 2020",barely-true,2
462,Tweets,"stated on April 5, 2020 in a post:","Says Rudy Giuliani ""bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine"" in early February.","By Daniel Funke • April 9, 2020",false,3
463,Instagram posts,"stated on March 17, 2020 in social media posts:","“While all COVID-19 news has been going on, the U.S. Government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”","By Patrick Orsagos • April 9, 2020",barely-true,2
464,Viral image,"stated on April 5, 2020 in a Facebook post:",People are handing out masks “doused with chemicals which knocks you out cold” so they can rob you.,"By Ciara O'Rourke • April 9, 2020",false,3
465,Facebook posts,"stated on April 5, 2020 in a Facebook post:","“In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.”","By Ciara O'Rourke • April 9, 2020",false,3
466,Viral image,"stated on April 8, 2020 in a Facebook post:","Says a California surfer was “alone, in the ocean,” when he was arrested for violating the state’s stay-at-home order.","By Ciara O'Rourke • April 9, 2020",mostly-true,1
467,Facebook posts,"stated on April 6, 2020 in a Facebook post:","“North Carolina & Virginia State line is closed. Nothing in or out.""","By Paul Specht • April 8, 2020",pants-fire,3
468,Facebook posts,"stated on April 6, 2020 in a Facebook post:",Says this poem about people staying home was written by Kathleen O’Mara in 1869.,"By Ciara O'Rourke • April 8, 2020",false,3
469,John Bel Edwards,"stated on April 5, 2020 in a CNN interview:","Says of the coronavirus threat, “there was not a single suggestion by anyone, a doctor, a scientist, a political figure, that we needed to cancel Mardi Gras.”","By Miriam Valverde • April 8, 2020",true,0
470,Facebook posts,"stated on April 1, 2020 in a Facebook post:","“Non-essential people get to file for unemployment and make two to three times more than normal,” but essential workers still on the job get no pay raise.","By Tom Kertscher • April 8, 2020",half-true,1
471,Viral image,"stated on April 6, 2020 in a Facebook post:",“59 people die as pastor gives them dettol to drink in church to prevent coronavirus.”,"By Ciara O'Rourke • April 8, 2020",false,3
472,Donald Trump,"stated on April 6, 2020 in a White House briefing:",The Obama administration left Trump with a “stockpile with a cupboard that was bare.”,"By Amy Sherman • April 8, 2020",barely-true,2
473,Viral image,"stated on March 31, 2020 in a Facebook post:","“If you’ve let somebody claim your kids for income tax purposes, you will not receive a stimulus check. The person who claimed your kids is gonna get it.”","By Madison Czopek • April 8, 2020",half-true,1
474,Viral image,"stated on April 2, 2020 in a Facebook post:",Says video shows “the Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.”,"By Ciara O'Rourke • April 7, 2020",false,3
475,Facebook posts,"stated on April 2, 2020 in a Facebook post:",Says Goodwill used the pandemic “to fire all of their employees instead of laying them off.”,"By Ciara O'Rourke • April 7, 2020",false,3
476,Viral image,"stated on April 6, 2020 in a Facebook post:",Says Queen Elizabeth said Philippine President Rodrigo Duterte “is the kind of leader who knows the way .... Filipinos are very lucky to have him.”,"By Ciara O'Rourke • April 7, 2020",pants-fire,3
477,Charlie Kirk,"stated on April 3, 2020 in a tweet:",“The Chinese Communist Party is using Zoom as a way to spy on our citizens.”,"By Bill McCarthy • April 7, 2020",barely-true,2
478,Viral image,"stated on April 2, 2020 in a Facebook post:",Photo shows a crowded New York City subway train during stay-at-home order.,"By Samantha Putterman • April 7, 2020",true,0
479,David Lewis,"stated on March 26, 2020 in a tweet:",“Pelosi tried to block voter ID/absentee ballot protections.”,"By Paul Specht • April 7, 2020",half-true,1
480,Donald Trump,"stated on April 1, 2020 in in a White House briefing:","“Now, they’re doing tests on airlines — very strong tests — for getting on, getting off. They’re doing tests on trains — getting on, getting off.”","By Amy Sherman • April 6, 2020",pants-fire,3
481,Viral image,"stated on April 2, 2020 in a Facebook post:",“Rivers in Oklahoma are full of catfish carrying the virus.”,"By Ciara O'Rourke • April 6, 2020",false,3
482,Bloggers,"stated on April 5, 2020 in a fake news article:",Says the NBA is asking Donald Trump to “resign or we’ll never play again.”,"By Daniel Funke • April 6, 2020",pants-fire,3
483,Facebook posts,"stated on March 29, 2020 in a Facebook post:","“Unemployment now pays $24/hour, even if your wages were lower. Why don’t ‘essential’ people forced to still work get $24, too?”","By Tom Kertscher • April 6, 2020",half-true,1
484,Facebook posts,"stated on April 2, 2020 in a Facebook post:",Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,"By Samantha Putterman • April 6, 2020",false,3
485,Facebook posts,"stated on March 16, 2020 in a Facebook post:","The government is closing businesses to stop the spread of coronavirus even though ""the numbers are nothing compared to H1N1 or Ebola. Everyone needs to realize our government is up to something ...”","By Jessica Calefati • April 6, 2020",pants-fire,3
486,Bloggers,"stated on April 3, 2020 in a blog post:",“Joe Exotic tests positive for coronavirus in prison. It’s been confirmed.”,"By Ciara O'Rourke • April 3, 2020",false,3
487,Facebook posts,"stated on March 28, 2020 in a post:",Says a “5G LAW PASSED while everyone was distracted” with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,"By Daniel Funke • April 3, 2020",barely-true,2
488,Facebook posts,"stated on March 28, 2020 in a Facebook post:","Says for otherwise healthy people “experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis … only high temperatures kill a virus, so let your fever run high,” but not over 103 or 104 degrees.","By Tom Kertscher • April 3, 2020",barely-true,2
489,Facebook posts,"stated on March 28, 2020 in a Facebook post:",Pictures and reports of “empty hospitals” prove COVID-19 spread is “fake crisis for real government planned agendas.”,"By Tom Kertscher • April 3, 2020",false,3
490,Joe Biden,"stated on March 27, 2020 in a virtual town hall on CNN:","“There was no effort” to get American experts into China after it announced the coronavirus, and “we had one person in-country (and Trump) pulled him out of the country.”","By Jon Greenberg • April 3, 2020",barely-true,2
491,Facebook posts,"stated on March 30, 2020 in a Facebook post:",Says Nancy Pelosi’s “daughter is on the board of the Kennedy Center so that’s why it was so important to send them all that money.”,"By Ciara O'Rourke • April 3, 2020",false,3
492,Facebook posts,"stated on March 22, 2020 in a Facebook post:","“In Chicago, Covid-19 actually LOWERED the death rate.”","By Haley BeMiller • April 3, 2020",false,3
493,Facebook posts,"stated on March 23, 2020 in a Facebook post:","“This lady here applied sanitizer to her hands/forearms & went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.”","By Bill McCarthy • April 3, 2020",false,3
494,Jesse Watters,"stated on March 31, 2020 in comments made during an episode of ""The Five"" on the Fox News Channel:","“We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.”","By Shefali Luthra • April 3, 2020",false,3
495,Facebook posts,"stated on March 16, 2020 in a Facebook post:",Says the U.S. is developing an “antivirus” that includes a chip to track your movement.,"By Samantha Putterman • April 3, 2020",pants-fire,3
496,Dan Patrick,"stated on March 31, 2020 in a briefing:","Says for the coronavirus, “the death rate in Texas, per capita of 29 million people, we're one of the lowest in the country.""","By Madlin Mekelburg • April 3, 2020",mostly-true,1
497,Facebook posts,"stated on March 29, 2020 in an image:","Says the governors of Michigan, New York and Nevada “have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.”","By Daniel Funke • April 2, 2020",false,3
498,Bloggers,"stated on March 31, 2020 in a blog post:","Says Italy arrested a doctor “for intentionally killing over 3,000 coronavirus patients.”","By Ciara O'Rourke • April 2, 2020",pants-fire,3
499,Facebook posts,"stated on March 31, 2020 in a Facebook post:","“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”","By Bill McCarthy • April 2, 2020",true,0
500,Bloggers,"stated on March 28, 2020 in a blog post:",“Queen Elizabeth tests positive for COVID-19.”,"By Ciara O'Rourke • April 2, 2020",false,3
501,Facebook posts,"stated on March 28, 2020 in a Facebook post:",Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks “everywhere.”,"By Samantha Putterman • April 2, 2020",false,3
502,Viral image,"stated on March 25, 2020 in a Facebook post:",“if your child gets this virus their going to hospital alone in a van with people they don’t know...to be with people they don’t know… you will be at home without them in their time of need.”,"By Emily Venezky • April 2, 2020",pants-fire,3
503,Jerome Adams,"stated on March 27, 2020 in a television interview:",“They’re furloughing nurses in hospitals in western New York state.”,"By Jill Terreri Ramos • April 2, 2020",false,3
504,Bloggers,"stated on March 24, 2020 in a false news article:","Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus.""","By Daniel Funke • April 1, 2020",pants-fire,3
505,Facebook posts,"stated on March 31, 2020 in a Facebook post:","Says Ron Johnson said Americans should go back to work, because ""death is an unavoidable part of life.""","By Eric Litke • April 1, 2020",half-true,1
506,Jeff Jackson,"stated on March 19, 2020 in a tweet:","Says North Carolina ""hospital beds are typically 85% full across the state.”","By Paul Specht • April 1, 2020",half-true,1
507,Facebook posts,"stated on March 22, 2020 in a Facebook post:","Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”","By Miriam Valverde • April 1, 2020",pants-fire,3
508,Pat Toomey,"stated on March 28, 2020 in a video on Twitter:",“My mask will keep someone else safe and their mask will keep me safe.”,"By Jessica Calefati • April 1, 2020",true,0
509,Brian Fitzpatrick,"stated on March 23, 2020 in comments he made on the radio:","“We’ve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.”","By Jessica Calefati • April 1, 2020",half-true,1
510,Facebook posts,"stated on March 27, 2020 in social media:","Shows a waitress saying, ""I lost my job. But I'll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats”","By Louis Jacobson • March 31, 2020",barely-true,2
511,Facebook posts,"stated on March 31, 2020 in a Facebook post:",Says students have to repeat the same grade next year.,"By Ciara O'Rourke • March 31, 2020",pants-fire,3
512,Facebook posts,"stated on March 29, 2020 in a viral post:","Says a study projects Wisconsin’s coronavirus cases will peak on April 26, 2020","By Eric Litke • March 31, 2020",mostly-true,1
513,Donald Trump,"stated on March 30, 2020 in an interview on ""Fox and Friends"":",“We inherited a broken test” for COVID-19.,"By Jon Greenberg • March 31, 2020",pants-fire,3
514,Facebook posts,"stated on March 30, 2020 in a Facebook post:",Says certain states are banning the sale of alcohol.,"By Ciara O'Rourke • March 30, 2020",false,3
515,Facebook posts,"stated on March 20, 2020 in a text post:","Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.","By Daniel Funke • March 30, 2020",pants-fire,3
516,Donald Trump,"stated on March 29, 2020 in a press conference:","“I didn’t say that” some of the medical equipment that governors are requesting, they don't actually need.","By Louis Jacobson • March 30, 2020",pants-fire,3
517,Viral image,"stated on March 25, 2020 in a Facebook post:",“COVID literally stands for Chinese Originated Viral Infectious Disease.”,"By Ciara O'Rourke • March 30, 2020",pants-fire,3
518,Facebook posts,"stated on March 19, 2020 in a Facebook post:","Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”","By Tom Kertscher • March 30, 2020",false,3
519,Turning Point USA,"stated on March 25, 2020 in a Facebook post:","Says Nevada Gov. Steve Sisolak ""has banned the use of an anti-malaria drug that might help cure coronavirus.”","By Daniel Funke • March 27, 2020",barely-true,2
520,Donald Trump,"stated on March 26, 2020 in a Hannity show interview:","Speaking of his restriction on travel from China, “I had (Joe) Biden calling me xenophobic. … He called me a racist, because of the fact that he felt it was a racist thing to stop people from China coming in.”","By Miriam Valverde • March 27, 2020",barely-true,2
521,Facebook posts,"stated on March 25, 2020 in a Facebook post:",Says to leave objects in the sun to avoid contracting the coronavirus.,"By Tom Kertscher • March 27, 2020",false,3
522,Duey Stroebel,"stated on March 24, 2020 in a tweet:","Says that under order from Gov. Tony Evers, he and his eight children can’t legally have dinner together anymore.","By Eric Litke • March 27, 2020",half-true,1
523,Facebook posts,"stated on March 23, 2020 in a Facebook post:",Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,"By Samantha Putterman • March 26, 2020",false,3
524,Facebook posts,"stated on March 20, 2020 in a Facebook post:",Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,"By Samantha Putterman • March 26, 2020",mostly-true,1
525,John Cornyn,"stated on March 18, 2020 in a press conference:","“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that's why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”","By Madlin Mekelburg • March 26, 2020",false,3
526,Facebook posts,"stated on March 23, 2020 in a Facebook post:",“Donald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!”,"By Tom Kertscher • March 26, 2020",false,3
527,Facebook posts,"stated on March 21, 2020 in a Facebook post:","“All schools in Canada are closed for the rest of the school year, each family will receive $950 every two weeks for the next 15 weeks, banks were notif(ied) to suspend mortgage payments for at least 6 months, and student loans deferred.”","By Bill McCarthy • March 25, 2020",half-true,1
528,Facebook posts,"stated on March 20, 2020 in a Facebook post:",“Australia Closing Borders in a few hours for 6-months”,"By Miriam Valverde • March 25, 2020",half-true,1
529,Chain message,"stated on March 23, 2020 in a Facebook message:",An audio message lists five ways people can prevent the novel coronavirus.,"By Daniel Funke • March 25, 2020",false,3
530,Facebook posts,"stated on March 15, 2020 in a Facebook post:",“Bill Gates told us about the coronavirus in 2015.”,"By Ciara O'Rourke • March 25, 2020",mostly-true,1
531,Viral image,"stated on March 16, 2020 in a Facebook post:",Says a military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.,"By Ciara O'Rourke • March 25, 2020",false,3
532,Facebook posts,"stated on March 21, 2020 in a Facebook post:","""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""","By Tom Kertscher • March 25, 2020",false,3
533,Facebook posts,"stated on March 22, 2020 in a Facebook post:",“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”,"By Emily Venezky • March 25, 2020",pants-fire,3
534,Donald Trump,"stated on March 24, 2020 in a Fox News town hall:","Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”","By Miriam Valverde • March 25, 2020",false,3
535,Facebook posts,"stated on March 24, 2020 in a Facebook post:",Says Gov. Tony Evers is “pushing firearm confiscation orders”,"By Eric Litke • March 25, 2020",pants-fire,3
536,Donald Trump,"stated on March 24, 2020 in a campaign ad:",Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,"By Louis Jacobson • March 24, 2020",mostly-true,1
537,Bloggers,"stated on March 20, 2020 in an article:",“Fish tank additive may treat coronavirus.”,"By Bill McCarthy • March 24, 2020",false,3
538,Chain message,"stated on March 23, 2020 in a video:","""Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of"" the novel coronavirus.","By Daniel Funke • March 24, 2020",false,3
539,Instagram posts,"stated on March 21, 2020 in an Instagram post:",Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,"By Samantha Putterman • March 24, 2020",pants-fire,3
540,JB Pritzker,"stated on March 17, 2020 in remarks at a press conference:",Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.,"By Kiannah Sepeda-Miller • March 24, 2020",mostly-true,1
541,Instagram posts,"stated on March 23, 2020 in social media posts:",“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,"By Louis Jacobson • March 24, 2020",false,3
542,Facebook posts,"stated on March 17, 2020 in a Facebook post:","""U.S. deaths since 1/22 (2020): COVID-19: 27, flu, 4,700; abortion: 118,000.""","By Tom Kertscher • March 24, 2020",barely-true,2
543,Facebook posts,"stated on March 21, 2020 in a Facebook post:",Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,"By Samantha Putterman • March 24, 2020",pants-fire,3
544,Chain message,"stated on March 23, 2020 in a Snapchat screenshot:","Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.""","By Daniel Funke • March 24, 2020",false,3
545,Facebook posts,"stated on March 15, 2020 in a Facebook post:",Says businesses will give you free baby formula during the coronavirus outbreak.,"By Samantha Putterman • March 23, 2020",pants-fire,3
546,Facebook posts,"stated on March 19, 2020 in a Facebook post:","""Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.""","By Tom Kertscher • March 23, 2020",false,3
547,Facebook posts,"stated on March 15, 2020 in a Facebook post:","“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”","By Bill McCarthy • March 23, 2020",half-true,1
548,Facebook posts,"stated on March 22, 2020 in a Facebook post:",“Go to 2020census.gov and fill out this census form so you can get your stimulus check.”,"By Ciara O'Rourke • March 23, 2020",false,3
549,Dan Crenshaw,"stated on March 13, 2020 in a tweet:",Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,"By Madlin Mekelburg • March 23, 2020",true,0
550,Facebook posts,"stated on March 19, 2020 in a Facebook post:",“Wisconsin is the only state where all Republicans voted against protecting its citizens.”,"By Eric Litke • March 20, 2020",mostly-true,1
551,Andrew Cuomo,"stated on March 17, 2020 in a news conference:",“No city in the state can quarantine itself without state approval.”,"By Jill Terreri Ramos • March 20, 2020",true,0
552,Marco Rubio,"stated on March 19, 2020 in a tweet:",For coronavirus cases “in the U.S. 38% of those hospitalized are under 35.”,"By Amy Sherman • March 20, 2020",barely-true,2
553,Chain message,"stated on March 19, 2020 in a text:","The federal government is “preparing to mobilize the national guard,” “dispatch them across the US with military” and “announce a nationwide 1 week quarantine for all citizens.”","By Daniel Funke • March 20, 2020",false,3
554,Greg Murphy,"stated on March 16, 2020 in a tweet:",“Sunlight actually can kill the (novel coronavirus.)”,"By Paul Specht • March 20, 2020",false,3
555,Facebook posts,"stated on March 18, 2020 in an infographic:","2019 coronavirus can live for ""up to 3 hours in the air, up to 4 hours on copper, up to 24 hours on cardboard up to 3 days on plastic and stainless steel.”","By Daniel Funke • March 20, 2020",mostly-true,1
556,Facebook posts,"stated on March 17, 2020 in a Facebook post:",“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”,"By Ciara O'Rourke • March 19, 2020",false,3
557,Facebook posts,"stated on March 19, 2020 in a post:","Says ""there is no"" COVID-19 virus.","By Daniel Funke • March 19, 2020",pants-fire,3
558,Donald Trump,"stated on March 14, 2020 in a news conference:","Says that “over a 45-minute period that we had the press conference” on the coronavirus on March 13, 2020, the stock market set ""an all-time record.""","By Tom Kertscher • March 19, 2020",half-true,1
559,David A. Clarke Jr.,"stated on March 15, 2020 in a tweet:",Says coronavirus is just “the damn flu.”,"By Eric Litke • March 19, 2020",pants-fire,3
560,Donald Trump,"stated on March 18, 2020 in comments made during a White House media briefing:","The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”","By Shefali Luthra • March 19, 2020",pants-fire,3
561,Facebook posts,"stated on March 18, 2020 in a Facebook post:","Says President Donald Trump said, “People are dying who have never died before.”","By Bill McCarthy • March 19, 2020",pants-fire,3
562,Facebook posts,"stated on March 15, 2020 in a text post:","""George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out.""","By Daniel Funke • March 19, 2020",false,3
563,Bloggers,"stated on March 13, 2020 in a blog post:",Says the New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”,"By Samantha Putterman • March 19, 2020",pants-fire,3
564,Viral image,"stated on March 18, 2020 in a Facebook post:","Says Donald Trump tweeted, “I ordered the Treasury secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA”","By Ciara O'Rourke • March 19, 2020",pants-fire,3
565,Donald Trump,"stated on March 17, 2020 in a White House news conference:","“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”","By Jon Greenberg • March 18, 2020",pants-fire,3
566,Viral image,"stated on March 13, 2020 in a viral image:","“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”","By Tom Kertscher • March 18, 2020",barely-true,2
567,Facebook posts,"stated on March 14, 2020 in a Facebook post:",“Italy has decided not to treat their elderly for this virus.”,"By Tom Kertscher • March 18, 2020",barely-true,2
568,Facebook posts,"stated on March 17, 2020 in a Facebook post:","“All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17.”","By Ciara O'Rourke • March 18, 2020",false,3
569,Ron Paul,"stated on March 16, 2020 in an opinion article:","Says Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.""","By Tom Kertscher • March 18, 2020",false,3
570,Instagram posts,"stated on March 15, 2020 in an image:","""COVID-19 started because we eat animals.""","By Daniel Funke • March 18, 2020",barely-true,2
571,Sean Hannity,"stated on March 16, 2020 in a TV segment:","“Now, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.”","By Bill McCarthy • March 18, 2020",barely-true,2
572,Facebook posts,"stated on March 11, 2020 in a Facebook post:",“MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-election.’”,"By Ciara O'Rourke • March 18, 2020",false,3
573,Kelly Alexander,"stated on March 11, 2020 in a tweet:","Says ""most"" NC legislators are in the ""high risk age group"" for coronavirus","By Paul Specht • March 18, 2020",true,0
574,Donald Trump,"stated on March 17, 2020 in a White House press conference:",The WHO coronavirus test “was a bad test.”,"By Jon Greenberg • March 17, 2020",false,3
575,Facebook posts,"stated on March 13, 2020 in a Facebook post:",In South Florida “all children and adults must remain in their homes” due to coronavirus.,"By Amy Sherman • March 17, 2020",pants-fire,3
576,Facebook posts,"stated on March 16, 2020 in a screenshot:",President Donald Trump “will evoke (sic) what is called the Stafford act” and “order a two week mandatory quarantine for the nation.”,"By Daniel Funke • March 17, 2020",false,3
577,Instagram posts,"stated on March 15, 2020 in a screenshot:","Says Donald Trump “cut funding to the CDC,” “fired the Pandemic Response Team,” “refused WHO tests” and “wasted two weeks calling this outbreak a ‘Democrat hoax.’”","By Daniel Funke • March 17, 2020",barely-true,2
578,Chain message,"stated on March 16, 2020 in a text:",Donald Trump is “announcing tomorrow that the US is going into quarantine for the next 14 days.”,"By Daniel Funke • March 17, 2020",false,3
579,Viral image,"stated on March 13, 2020 in a Facebook post:",Says Spectrum will provide free internet to students during coronavirus school closures.,"By Ciara O'Rourke • March 17, 2020",true,0
580,Sherill Sellman,"stated on February 12, 2020 in remarks on the Jim Bakker show:","Silver Solution used on strains of coronavirus ""totally eliminate it. Kills it. Deactivates it.”","By Julia Garlich • March 17, 2020",pants-fire,3
581,Joe Biden,"stated on March 15, 2020 in a Democratic primary debate:",The World Health Organization offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them.”,"By Jon Greenberg • March 16, 2020",barely-true,2
582,Facebook posts,"stated on March 9, 2020 in a Facebook post:",“Coronavirus — 22. Clintons — 39.”,"By Bill McCarthy • March 16, 2020",pants-fire,3
583,Facebook posts,"stated on March 12, 2020 in a Facebook post:",Says COVID-19 came to the United States in 2019.,"By Ciara O'Rourke • March 16, 2020",false,3
584,Bloggers,"stated on March 12, 2020 in a post on the internet:",“The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention.”,"By Louis Jacobson • March 16, 2020",false,3
